NCEP Rapid Refresh (RAP)
CONUS Pressure Level Fields (40 levels)
GRIB2 Table Documentation
25 Oct 2012

RecordNumber,	TableNumber,	DisciplineNumber,	CategoryNumber,	ParameterNumber,	WGrib2Name,	NCLName,				FieldType,			Description,													Units,		Number of Levels,
220,		0,		0,			1,		1,			RH,		RH_P0_2L108_GLC0(0),			Relative Humidity,		Relative humidity in 0-30 mb above ground layer,								%,		1,
221.1,		0,		0,			2,		2,			UGRD,		UGRD_P0_2L108_GLC0(0),			Wind,				U-component of wind in 0-30 mb above ground layer,								m/s,		1,
221.2,		0,		0,			2,		3,			VGRD,		VGRD_P0_2L108_GLC0(0),			Wind,				V-component of wind in 0-30 mb above ground layer,								m/s,		1,
222,		0,		0,			2,		8,			VVEL,		VVEL_P0_2L108_GLC0(0),			Vertical Velocity,		Vertical velocity (pressure) in 0-30 mb above ground layer,							Pa/s,		1,
223,		0,		0,			0,		0,			TMP,		TMP_P0_2L108_GLC0(1),			Temperature,			Temperature in 30-60 mb above ground layer,									K,		1,
224,		0,		0,			1,		1,			RH,		RH_P0_2L108_GLC0(1),			Relative Humidity,		Relative humidity in 30-60 mb above ground layer,								%,		1,
225.1,		0,		0,			2,		2,			UGRD,		UGRD_P0_2L108_GLC0(1),			Wind,				U-component of wind in 30-60 mb above ground layer,								m/s,		1,
225.2,		0,		0,			2,		3,			VGRD,		VGRD_P0_2L108_GLC0(1),			Wind,				V-component of wind in 30-60 mb above ground layer,								m/s,		1,
226,		0,		0,			2,		8,			VVEL,		VVEL_P0_2L108_GLC0(1),			Vertical Velocity,		Vertical velocity (pressure) in 30-60 mb above ground layer,							Pa/s,		1,
227,		0,		0,			0,		0,			TMP,		TMP_P0_2L108_GLC0(2),			Temperature,			Temperature in 60-90 mb above ground layer,									K,		1,
228,		0,		0,			1,		1,			RH,		RH_P0_2L108_GLC0(2),			Relative Humidity,		Relative humidity in 60-90 mb above groun layer,								%,		1,
